Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed 108 | gen    2 (64 grids scored in 2.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 137
seed 133 | gen    2 (23 grids scored in 19.3 s) | maps{1} | new champion: max wsl 10, nw 21, score 136
seed 133 | gen    3 (92 grids scored in 59.3 s) | maps{1} | new champion: max wsl 10, nw 21, score 138
seed 103 | gen    8 (817 grids scored in 22.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 153
seed 163 | gen    7 (581 grids scored in 14.3 m) | maps{1} | new champion: max wsl 9, nw 17, score 154
seed 113 | gen   26 (3.3K grids scored in 14.9 m) | maps{1} | new champion: max wsl 13, nw 13, score 127
seed 108 | gen    3 (156 grids scored in 4.2 m) | maps{1} | new champion: max wsl 10, nw 13, score 143
seed 113 | gen   27 (3.5K grids scored in 15.9 m) | maps{1} | new champion: max wsl 12, nw 13, score 145
seed 68 | gen    5 (532 grids scored in 9.1 m) | maps{1} | new champion: max wsl 8, nw 13, score 160
seed 53 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 65
seed 53 | gen    1 (4 grids scored in 6.5 s) | maps{1} | new champion: max wsl 12, nw 16, score 109
seed 113 | gen   28 (3.6K grids scored in 17.5 m) | maps{1} | new champion: max wsl 12, nw 13, score 151
seed 39 | gen   46 (6.6K grids scored in 4.0 h) | maps{1} | new champion: max wsl 9, nw 12, score 170
seed 63 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 67
seed 148 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 68
seed 98 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 53 | gen    2 (88 grids scored in 2.2 m) | maps{1} | new champion: max wsl 12, nw 16, score 138
seed 173 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 67
seed 113 | gen   29 (3.8K grids scored in 19.6 m) | maps{1} | new champion: max wsl 12, nw 13, score 158
seed 148 | gen    4 (136 grids scored in 1.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 126
seed 163 | gen    8 (753 grids scored in 19.9 m) | maps{1} | new champion: max wsl 9, nw 17, score 156
seed 173 | gen    4 (208 grids scored in 54.3 s) | maps{1} | new champion: max wsl 10, nw 14, score 74
seed 63 | gen    5 (172 grids scored in 2.1 m) | maps{1} | new champion: max wsl 13, nw 16, score 114
seed 148 | gen    5 (211 grids scored in 2.0 m) | maps{1} | new champion: max wsl 13, nw 13, score 141
seed 173 | gen    5 (286 grids scored in 1.5 m) | maps{1} | new champion: max wsl 13, nw 14, score 77
seed 48 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 68
seed 133 | gen    5 (354 grids scored in 8.0 m) | maps{1} | new champion: max wsl 9, nw 21, score 144
seed 48 | gen    1 (6 grids scored in 4.6 s) | maps{1} | new champion: max wsl 13, nw 15, score 133
seed 158 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 173 | gen    6 (395 grids scored in 2.2 m) | maps{1} | new champion: max wsl 10, nw 14, score 107
seed 103 | gen   10 (1.1K grids scored in 29.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 53 | gen    3 (173 grids scored in 5.5 m) | maps{1} | new champion: max wsl 10, nw 16, score 147
seed 158 | gen    4 (196 grids scored in 51.4 s) | maps{1} | new champion: max wsl 13, nw 14, score 115
seed 148 | gen    6 (322 grids scored in 3.6 m) | maps{1} | new champion: max wsl 13, nw 14, score 142
seed 63 | gen    6 (258 grids scored in 3.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 126
seed 48 | gen    2 (79 grids scored in 1.7 m) | maps{1} | new champion: max wsl 8, nw 15, score 146
seed 123 | gen   22 (2.7K grids scored in 10.4 m) | maps{1} | new champion: max wsl 13, nw 15, score 124
seed 108 | gen    5 (409 grids scored in 12.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 151
seed 173 | gen    7 (515 grids scored in 3.8 m) | maps{1} | new champion: max wsl 10, nw 14, score 124
seed 158 | gen    5 (304 grids scored in 1.8 m) | maps{1} | new champion: max wsl 13, nw 13, score 129
seed 123 | gen   23 (2.8K grids scored in 11.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 132
seed 38 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 98 | gen   12 (1.1K grids scored in 5.0 m) | maps{1} | new champion: max wsl 13, nw 13, score 132
seed 133 | gen    6 (505 grids scored in 10.8 m) | maps{1} | new champion: max wsl 9, nw 21, score 147
seed 158 | gen    6 (430 grids scored in 2.8 m) | maps{1} | new champion: max wsl 10, nw 14, score 137
seed 148 | gen    7 (450 grids scored in 5.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 148
seed 123 | gen   24 (3.0K grids scored in 12.4 m) | maps{1} | new champion: max wsl 13, nw 15, score 138
seed 63 | gen    7 (367 grids scored in 6.5 m) | maps{1} | new champion: max wsl 9, nw 15, score 133
seed 98 | gen   14 (1.4K grids scored in 6.6 m) | maps{1} | new champion: max wsl 13, nw 14, score 137
seed 158 | gen    7 (552 grids scored in 4.0 m) | maps{1} | new champion: max wsl 10, nw 14, score 146
seed 123 | gen   25 (3.2K grids scored in 13.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 141
seed 48 | gen    3 (194 grids scored in 4.9 m) | maps{1} | new champion: max wsl 9, nw 15, score 148
seed 178 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 65
seed 53 | gen    4 (296 grids scored in 9.6 m) | maps{1} | new champion: max wsl 9, nw 15, score 153
seed 98 | gen   15 (1.5K grids scored in 7.6 m) | maps{1} | new champion: max wsl 13, nw 13, score 143
seed 173 | gen    8 (645 grids scored in 7.1 m) | maps{1} | new champion: max wsl 10, nw 15, score 129
seed 143 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 108 | gen    6 (570 grids scored in 16.0 m) | maps{1} | new champion: max wsl 9, nw 16, score 153
seed 158 | gen    8 (694 grids scored in 5.7 m) | maps{1} | new champion: max wsl 9, nw 12, score 148
seed 148 | gen    8 (568 grids scored in 8.7 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed 98 | gen   16 (1.6K grids scored in 9.0 m) | maps{1} | new champion: max wsl 8, nw 14, score 144
seed 113 | gen   31 (4.2K grids scored in 27.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 161
seed 68 | gen    7 (881 grids scored in 20.7 m) | maps{1} | new champion: max wsl 8, nw 14, score 162
seed 143 | gen    4 (257 grids scored in 1.4 m) | maps{1} | new champion: max wsl 12, nw 12, score 135
seed 63 | gen    8 (507 grids scored in 9.8 m) | maps{1} | new champion: max wsl 9, nw 15, score 137
seed 158 | gen    9 (833 grids scored in 7.4 m) | maps{1} | new champion: max wsl 10, nw 12, score 152
seed 38 | gen   12 (984 grids scored in 5.2 m) | maps{1} | new champion: max wsl 13, nw 15, score 124
seed 98 | gen   17 (1.8K grids scored in 10.3 m) | maps{1} | new champion: max wsl 8, nw 14, score 150
seed 123 | gen   27 (3.6K grids scored in 16.6 m) | maps{1} | new champion: max wsl 8, nw 13, score 143
seed 143 | gen    5 (374 grids scored in 2.5 m) | maps{1} | new champion: max wsl 12, nw 12, score 149
seed 88 | gen    8 (298 grids scored in 19.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 135
seed 48 | gen    4 (334 grids scored in 8.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 151
seed 133 | gen    8 (779 grids scored in 17.1 m) | maps{1} | new champion: max wsl 9, nw 21, score 153
seed 98 | gen   18 (1.9K grids scored in 11.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 153
seed 173 | gen    9 (794 grids scored in 11.1 m) | maps{1} | new champion: max wsl 10, nw 15, score 142
seed 38 | gen   13 (1.2K grids scored in 6.8 m) | maps{1} | new champion: max wsl 11, nw 14, score 143
seed 83 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 69
seed 143 | gen    6 (489 grids scored in 4.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 151
seed 158 | gen   10 (983 grids scored in 9.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 157
seed 118 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 70
seed 53 | gen    5 (447 grids scored in 14.5 m) | maps{1} | new champion: max wsl 10, nw 13, score 154
seed 123 | gen   28 (3.8K grids scored in 18.7 m) | maps{1} | new champion: max wsl 10, nw 12, score 144
seed 108 | gen    7 (752 grids scored in 20.3 m) | maps{1} | new champion: max wsl 9, nw 16, score 154
seed 178 | gen   13 (891 grids scored in 5.9 m) | maps{1} | new champion: max wsl 11, nw 15, score 109
seed 98 | gen   19 (2.0K grids scored in 13.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 155
seed 133 | gen    9 (934 grids scored in 19.8 m) | maps{1} | new champion: max wsl 9, nw 20, score 161
seed 63 | gen    9 (663 grids scored in 14.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 140
seed 38 | gen   14 (1.3K grids scored in 9.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 157
seed 178 | gen   14 (1.0K grids scored in 7.4 m) | maps{1} | new champion: max wsl 11, nw 14, score 113
seed 143 | gen    7 (635 grids scored in 6.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed 98 | gen   20 (2.2K grids scored in 15.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 162
seed 123 | gen   29 (4.0K grids scored in 21.5 m) | maps{1} | new champion: max wsl 9, nw 13, score 145
seed 83 | gen    9 (791 grids scored in 3.9 m) | maps{1} | new champion: max wsl 12, nw 15, score 124
seed 108 | gen    8 (938 grids scored in 24.4 m) | maps{1} | new champion: max wsl 10, nw 15, score 159
seed 83 | gen   10 (922 grids scored in 4.8 m) | maps{1} | new champion: max wsl 11, nw 15, score 139
seed 163 | gen   10 (1.1K grids scored in 35.1 m) | maps{1} | new champion: max wsl 9, nw 16, score 159
seed 53 | gen    6 (598 grids scored in 18.9 m) | maps{1} | new champion: max wsl 10, nw 13, score 156
seed 143 | gen    8 (761 grids scored in 9.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 160
seed 83 | gen   11 (1.0K grids scored in 5.9 m) | maps{1} | new champion: max wsl 11, nw 15, score 143
seed 178 | gen   15 (1.2K grids scored in 10.6 m) | maps{1} | new champion: max wsl 11, nw 15, score 126
seed 153 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 83 | gen   12 (1.2K grids scored in 7.4 m) | maps{1} | new champion: max wsl 11, nw 15, score 149
seed 158 | gen   13 (1.4K grids scored in 17.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 166
seed 143 | gen    9 (899 grids scored in 11.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 162
seed 38 | gen   16 (1.6K grids scored in 15.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 160
seed 138 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 66
seed 83 | gen   13 (1.3K grids scored in 8.9 m) | maps{1} | new champion: max wsl 11, nw 15, score 151
seed 128 | gen   10 (1.1K grids scored in 34.1 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed 178 | gen   16 (1.3K grids scored in 14.4 m) | maps{1} | new champion: max wsl 11, nw 16, score 132
seed 53 | gen    7 (750 grids scored in 23.8 m) | maps{1} | new champion: max wsl 10, nw 13, score 157
seed 83 | gen   14 (1.5K grids scored in 10.3 m) | maps{1} | new champion: max wsl 11, nw 15, score 152
seed 123 | gen   31 (4.3K grids scored in 28.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 146
seed 73 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 153 | gen    9 (915 grids scored in 4.5 m) | maps{1} | new champion: max wsl 12, nw 16, score 134
seed 38 | gen   17 (1.8K grids scored in 18.6 m) | maps{1} | new champion: max wsl 10, nw 14, score 164
seed 43 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed 83 | gen   15 (1.6K grids scored in 12.1 m) | maps{1} | new champion: max wsl 11, nw 15, score 162
seed 73 | gen    5 (300 grids scored in 1.3 m) | maps{1} | new champion: max wsl 8, nw 13, score 143
seed 43 | gen    2 (87 grids scored in 26.7 s) | maps{1} | new champion: max wsl 12, nw 13, score 127
seed 73 | gen    6 (396 grids scored in 2.0 m) | maps{1} | new champion: max wsl 8, nw 13, score 146
seed 148 | gen   11 (973 grids scored in 24.8 m) | maps{1} | new champion: max wsl 10, nw 14, score 159
seed 153 | gen   10 (1.1K grids scored in 6.3 m) | maps{1} | new champion: max wsl 12, nw 16, score 137
seed 98 | gen   24 (2.8K grids scored in 25.2 m) | maps{1} | new champion: max wsl 8, nw 12, score 165
seed 43 | gen    3 (214 grids scored in 1.5 m) | maps{1} | new champion: max wsl 11, nw 14, score 144
seed 178 | gen   17 (1.5K grids scored in 18.5 m) | maps{1} | new champion: max wsl 11, nw 17, score 135
seed 83 | gen   16 (1.8K grids scored in 13.9 m) | maps{1} | new champion: max wsl 11, nw 15, score 163
seed 53 | gen    8 (909 grids scored in 28.5 m) | maps{1} | new champion: max wsl 10, nw 13, score 159
seed 148 | gen   12 (1.1K grids scored in 26.9 m) | maps{1} | new champion: max wsl 10, nw 14, score 160
seed 98 | gen   25 (3.0K grids scored in 27.0 m) | maps{1} | new champion: max wsl 8, nw 13, score 168
seed 43 | gen    4 (360 grids scored in 3.9 m) | maps{1} | new champion: max wsl 11, nw 14, score 146
seed 153 | gen   11 (1.3K grids scored in 9.1 m) | maps{1} | new champion: max wsl 12, nw 15, score 145
seed 78 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 123 | gen   33 (4.7K grids scored in 36.5 m) | maps{1} | new champion: max wsl 10, nw 13, score 149
seed 43 | gen    5 (558 grids scored in 6.7 m) | maps{1} | new champion: max wsl 11, nw 14, score 151
seed 173 | gen   11 (1.1K grids scored in 30.4 m) | maps{1} | new champion: max wsl 8, nw 13, score 144
seed 83 | gen   19 (2.3K grids scored in 19.6 m) | maps{1} | new champion: max wsl 9, nw 14, score 167
seed 153 | gen   12 (1.5K grids scored in 13.0 m) | maps{1} | new champion: max wsl 10, nw 15, score 148
seed 73 | gen    8 (611 grids scored in 9.1 m) | maps{1} | new champion: max wsl 8, nw 13, score 147
seed 83 | gen   20 (2.4K grids scored in 21.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 170
seed 43 | gen    6 (749 grids scored in 10.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 153
seed 63 | gen   11 (989 grids scored in 34.6 m) | maps{1} | new champion: max wsl 9, nw 14, score 147
seed 108 | gen   11 (1.5K grids scored in 42.2 m) | maps{1} | new champion: max wsl 10, nw 15, score 160
seed 98 | gen   28 (3.4K grids scored in 34.7 m) | maps{1} | new champion: max wsl 8, nw 13, score 170
seed 73 | gen    9 (750 grids scored in 12.1 m) | maps{1} | new champion: max wsl 8, nw 13, score 152
seed 153 | gen   13 (1.6K grids scored in 16.7 m) | maps{1} | new champion: max wsl 10, nw 15, score 149
seed 48 | gen    6 (634 grids scored in 34.7 m) | maps{1} | new champion: max wsl 9, nw 13, score 154
seed 38 | gen   21 (2.5K grids scored in 34.0 m) | maps{1} | new champion: max wsl 8, nw 14, score 167
seed 98 | gen   30 (3.8K grids scored in 39.4 m) | maps{1} | new champion: max wsl 9, nw 15, score 171
seed 148 | gen   15 (1.5K grids scored in 40.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 168 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 66
seed 188 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 66
seed 43 | gen    8 (1.1K grids scored in 18.2 m) | maps{1} | new champion: max wsl 9, nw 11, score 160
seed 33 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 33 | gen    1 (6 grids scored in 4.8 s) | maps{1} | new champion: max wsl 10, nw 13, score 99
seed 73 | gen   11 (1.0K grids scored in 20.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 155
seed 33 | gen    2 (49 grids scored in 1.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 131
seed 178 | gen   19 (1.9K grids scored in 37.3 m) | maps{1} | new champion: max wsl 10, nw 17, score 137
seed 33 | gen    3 (106 grids scored in 2.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 146
seed 38 | gen   23 (2.9K grids scored in 40.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 168
seed 73 | gen   12 (1.2K grids scored in 23.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 158
seed 58 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 33 | gen    4 (206 grids scored in 4.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 149
seed 153 | gen   15 (2.0K grids scored in 28.4 m) | maps{1} | new champion: max wsl 10, nw 14, score 154
seed 183 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 72
seed 73 | gen   13 (1.3K grids scored in 26.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 58 | gen    8 (608 grids scored in 2.7 m) | maps{1} | new champion: max wsl 13, nw 9, score 128
seed 178 | gen   20 (2.1K grids scored in 42.3 m) | maps{1} | new champion: max wsl 10, nw 17, score 143
seed 58 | gen    9 (744 grids scored in 3.6 m) | maps{1} | new champion: max wsl 13, nw 11, score 136
seed 118 | gen   69 (8.8K grids scored in 39.0 m) | maps{1} | new champion: max wsl 13, nw 13, score 112
seed 153 | gen   16 (2.2K grids scored in 32.9 m) | maps{1} | new champion: max wsl 10, nw 14, score 157
seed 73 | gen   14 (1.5K grids scored in 28.9 m) | maps{1} | new champion: max wsl 9, nw 12, score 168
seed 58 | gen   10 (883 grids scored in 5.4 m) | maps{1} | new champion: max wsl 13, nw 10, score 142
seed 118 | gen   70 (9.0K grids scored in 39.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 119
seed 173 | gen   13 (1.4K grids scored in 52.8 m) | maps{1} | new champion: max wsl 8, nw 15, score 157
seed 58 | gen   11 (1.0K grids scored in 7.7 m) | maps{1} | new champion: max wsl 11, nw 11, score 149
seed 178 | gen   21 (2.2K grids scored in 47.3 m) | maps{1} | new champion: max wsl 10, nw 17, score 146
seed 118 | gen   72 (9.3K grids scored in 42.3 m) | maps{1} | new champion: max wsl 11, nw 15, score 131
seed 103 | gen   16 (2.0K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 160
seed 118 | gen   73 (9.5K grids scored in 43.2 m) | maps{1} | new champion: max wsl 11, nw 15, score 135
seed 58 | gen   12 (1.2K grids scored in 9.7 m) | maps{1} | new champion: max wsl 11, nw 11, score 153
seed 43 | gen   11 (1.6K grids scored in 32.4 m) | maps{1} | new champion: max wsl 9, nw 10, score 163
seed 128 | gen   15 (1.9K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 156
seed 118 | gen   74 (9.6K grids scored in 44.4 m) | maps{1} | new champion: max wsl 12, nw 15, score 145
seed 118 | gen   75 (9.8K grids scored in 45.7 m) | maps{1} | new champion: max wsl 12, nw 16, score 147
seed 123 | gen   38 (5.6K grids scored in 1.1 h) | maps{1} | new champion: max wsl 10, nw 14, score 150
seed 58 | gen   13 (1.3K grids scored in 11.7 m) | maps{1} | new champion: max wsl 11, nw 12, score 158
seed 33 | gen    6 (420 grids scored in 17.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 150
seed 118 | gen   76 (9.9K grids scored in 46.9 m) | maps{1} | new champion: max wsl 11, nw 16, score 149
seed 98 | gen   38 (5.0K grids scored in 1.0 h) | maps{1} | new champion: max wsl 9, nw 14, score 174
seed 73 | gen   17 (1.9K grids scored in 37.7 m) | maps{1} | new champion: max wsl 10, nw 15, score 169
seed 118 | gen   77 (10.1K grids scored in 48.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 154
seed 58 | gen   14 (1.5K grids scored in 14.2 m) | maps{1} | new champion: max wsl 11, nw 13, score 159
seed 123 | gen   39 (5.8K grids scored in 1.1 h) | maps{1} | new champion: max wsl 10, nw 14, score 153
seed 118 | gen   78 (10.3K grids scored in 49.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 159
seed 118 | gen   79 (10.4K grids scored in 50.7 m) | maps{1} | new champion: max wsl 9, nw 14, score 161
seed 33 | gen    7 (548 grids scored in 21.7 m) | maps{1} | new champion: max wsl 9, nw 13, score 153
seed 123 | gen   40 (6.0K grids scored in 1.2 h) | maps{1} | new champion: max wsl 10, nw 14, score 154
seed 153 | gen   18 (2.6K grids scored in 46.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 159
seed 38 | gen   28 (3.8K grids scored in 1.0 h) | maps{1} | new champion: max wsl 9, nw 13, score 170
seed 118 | gen   81 (10.7K grids scored in 53.5 m) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 123 | gen   41 (6.1K grids scored in 1.2 h) | maps{1} | new champion: max wsl 10, nw 15, score 157
seed 58 | gen   16 (1.8K grids scored in 20.9 m) | maps{1} | new champion: max wsl 10, nw 11, score 161
seed 58 | gen   17 (1.9K grids scored in 23.5 m) | maps{1} | new champion: max wsl 10, nw 11, score 168
seed 88 | gen   11 (813 grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 15, score 138
seed 53 | gen   12 (1.5K grids scored in 1.2 h) | maps{1} | new champion: max wsl 10, nw 13, score 163
seed 118 | gen   87 (11.6K grids scored in 1.0 h) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 103 | gen   19 (2.5K grids scored in 1.7 h) | maps{1} | new champion: max wsl 9, nw 13, score 166
seed 88 | gen   12 (993 grids scored in 1.4 h) | maps{1} | new champion: max wsl 8, nw 13, score 139
seed 58 | gen   19 (2.2K grids scored in 29.4 m) | maps{1} | new champion: max wsl 10, nw 12, score 169
seed 138 | gen   82 (12.8K grids scored in 56.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 107
seed 138 | gen   83 (13.0K grids scored in 58.0 m) | maps{1} | new champion: max wsl 13, nw 17, score 115
seed 33 | gen    9 (820 grids scored in 37.8 m) | maps{1} | new champion: max wsl 10, nw 13, score 154
seed 138 | gen   84 (13.2K grids scored in 59.7 m) | maps{1} | new champion: max wsl 13, nw 16, score 124
seed 88 | gen   13 (1.2K grids scored in 1.5 h) | maps{1} | new champion: max wsl 8, nw 14, score 140
seed 138 | gen   85 (13.3K grids scored in 1.0 h) | maps{1} | new champion: max wsl 9, nw 16, score 133
seed 33 | gen   10 (964 grids scored in 43.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed 138 | gen   86 (13.5K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 16, score 135
seed 88 | gen   14 (1.4K grids scored in 1.6 h) | maps{1} | new champion: max wsl 11, nw 13, score 143
seed 143 | gen   19 (2.4K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 15, score 166
seed 33 | gen   11 (1.1K grids scored in 48.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 160
seed 138 | gen   87 (13.7K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 16, score 140
seed 113 | gen   40 (5.8K grids scored in 1.9 h) | maps{1} | new champion: max wsl 9, nw 12, score 162
seed 153 | gen   21 (3.1K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 14, score 161
seed 33 | gen   12 (1.3K grids scored in 53.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 162
seed 138 | gen   88 (14.0K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 15, score 147
seed 108 | gen   19 (3.1K grids scored in 1.7 h) | maps{1} | new champion: max wsl 8, nw 16, score 161
seed 178 | gen   24 (2.8K grids scored in 1.5 h) | maps{1} | new champion: max wsl 10, nw 15, score 155
seed 73 | gen   24 (3.1K grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 14, score 170
seed 138 | gen   89 (14.1K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 15, score 149
seed 148 | gen   25 (2.8K grids scored in 1.7 h) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 83 | gen   30 (4.1K grids scored in 1.6 h) | maps{1} | new champion: max wsl 9, nw 13, score 173
seed 118 | gen  102 (13.9K grids scored in 1.6 h) | maps{1} | new champion: max wsl 9, nw 14, score 169
seed 138 | gen   90 (14.3K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 15, score 150
seed 33 | gen   14 (1.5K grids scored in 1.1 h) | maps{1} | new champion: max wsl 10, nw 14, score 163
seed 138 | gen   91 (14.5K grids scored in 1.5 h) | maps{1} | new champion: max wsl 10, nw 15, score 160
seed 108 | gen   22 (3.7K grids scored in 2.0 h) | maps{1} | new champion: max wsl 8, nw 15, score 166
seed 33 | gen   15 (1.7K grids scored in 1.2 h) | maps{1} | new champion: max wsl 10, nw 14, score 167
seed 63 | gen   15 (1.7K grids scored in 2.0 h) | maps{1} | new champion: max wsl 8, nw 14, score 150
seed 88 | gen   16 (1.8K grids scored in 2.1 h) | maps{1} | new champion: max wsl 10, nw 13, score 144
seed 98 | gen   54 (7.6K grids scored in 2.1 h) | maps{1} | new champion: max wsl 9, nw 12, score 177
seed 58 | gen   30 (4.0K grids scored in 1.4 h) | maps{1} | new champion: max wsl 10, nw 13, score 172
seed 43 | gen   21 (3.6K grids scored in 1.9 h) | maps{1} | new champion: max wsl 9, nw 13, score 164
seed 73 | gen   32 (4.4K grids scored in 1.9 h) | maps{1} | new champion: max wsl 8, nw 13, score 173
seed 173 | gen   18 (2.3K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 14, score 159
seed 123 | gen   55 (8.7K grids scored in 2.4 h) | maps{1} | new champion: max wsl 8, nw 13, score 158
seed 123 | gen   56 (8.9K grids scored in 2.5 h) | maps{1} | new champion: max wsl 8, nw 13, score 160
seed 128 | gen   23 (3.2K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 88 | gen   18 (2.2K grids scored in 2.6 h) | maps{1} | new champion: max wsl 10, nw 13, score 146
seed 43 | gen   24 (4.2K grids scored in 2.1 h) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 173 | gen   20 (2.6K grids scored in 2.6 h) | maps{1} | new champion: max wsl 8, nw 14, score 162
seed 133 | gen   29 (4.0K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 17, score 162
seed 188 | gen  185 (26.0K grids scored in 2.0 h) | maps{1} | new champion: max wsl 13, nw 17, score 107
