Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.57051

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   239 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  69
seed   245 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  69
seed   251 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 114
seed   320 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  70
seed   111 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 142
seed   287 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  89
seed   247 | Wombat(0,1.0 m,0.64) x   26 | MC estimate 108
seed   263 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed   304 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 114
seed   283 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 133
seed   311 | Wombat(0,1.0 m,0.64) x  150 | MC estimate 133
seed   266 | Wombat(0,1.0 m,0.64) x  189 | MC estimate 128
seed   290 | Wombat(0,1.0 m,0.64) x  197 | MC estimate 125
seed   242 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 112
seed   274 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   272 | Wombat(0,1.0 m,0.64) x  205 | MC estimate  69
seed   292 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 129
seed   280 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  70
seed   302 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  70
seed   253 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 111
seed   296 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  70
seed   299 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   269 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 108
seed   313 | Wombat(0,1.0 m,0.64) x  118 | MC estimate 144
seed   229 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 137
seed   232 | Wombat(0,1.0 m,0.64) x  164 | MC estimate 147
seed   277 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   238 | Wombat(0,1.0 m,0.64) x  216 | MC estimate 118
seed   317 | Wombat(0,1.0 m,0.64) x   21 | MC estimate 126
seed   236 | Wombat(0,1.0 m,0.64) x   71 | MC estimate 114
seed   250 | Wombat(0,1.0 m,0.64) x  193 | MC estimate 121
seed   257 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  69
seed   259 | Wombat(0,1.0 m,0.64) x  215 | MC estimate 118
seed   319 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 122
seed   244 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 145
seed   262 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  69
seed   286 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 130
