Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.53754

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Preserving jobs with IDs: 303 317 318 323 324 336 339 340 341 343 344 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to the parallel pool (number of workers: 32).
Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 96 (4.0 h each)

seed  8 | gen   34 (60 grids scored in 14.7 m) | maps{1} | new champion: max wsl 9, nw 16, score 63
seed 21 | gen   86 (89 grids scored in 14.7 m) | maps{1} | new champion: max wsl 13, nw 11, score 110
seed  3 | gen  120 (110 grids scored in 15.6 m) | maps{1} | new champion: max wsl 13, nw 16, score 99
seed  9 | gen  121 (106 grids scored in 15.9 m) | maps{1} | new champion: max wsl 13, nw 19, score 69
seed 19 | gen  140 (49 grids scored in 16.1 m) | maps{1} | new champion: max wsl 13, nw 21, score 81
seed 28 | gen  152 (83 grids scored in 16.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 68
seed  2 | gen  126 (70 grids scored in 16.5 m) | maps{1} | new champion: max wsl 12, nw 20, score 70
seed 12 | gen   24 (136 grids scored in 17.9 m) | maps{1} | new champion: max wsl 12, nw 20, score 91
seed  9 | gen  122 (152 grids scored in 18.2 m) | maps{1} | new champion: max wsl 13, nw 19, score 75
seed  7 | gen  184 (104 grids scored in 19.3 m) | maps{1} | new champion: max wsl 13, nw 23, score 72
seed 18 | gen   27 (62 grids scored in 19.5 m) | maps{1} | new champion: max wsl 12, nw 17, score 56
seed 20 | gen   48 (103 grids scored in 19.6 m) | maps{1} | new champion: max wsl 12, nw 19, score 86
seed  7 | gen  185 (136 grids scored in 20.9 m) | maps{1} | new champion: max wsl 13, nw 22, score 75
seed  6 | gen  103 (117 grids scored in 21.1 m) | maps{1} | new champion: max wsl 11, nw 15, score 105
seed 12 | gen   25 (212 grids scored in 21.7 m) | maps{1} | new champion: max wsl 12, nw 20, score 99
seed 16 | gen  360 (153 grids scored in 22.5 m) | maps{1} | new champion: max wsl 13, nw 20, score 68
seed 31 | gen   67 (161 grids scored in 23.2 m) | maps{1} | new champion: max wsl 13, nw 19, score 74
seed 13 | gen   88 (170 grids scored in 23.3 m) | maps{1} | new champion: max wsl 11, nw 13, score 101
seed 24 | gen   99 (134 grids scored in 23.4 m) | maps{1} | new champion: max wsl 13, nw 22, score 65
seed  7 | gen  186 (189 grids scored in 23.6 m) | maps{1} | new champion: max wsl 13, nw 22, score 88
seed  5 | gen  148 (196 grids scored in 23.7 m) | maps{1} | new champion: max wsl 12, nw 17, score 81
seed 21 | gen   88 (157 grids scored in 24.0 m) | maps{1} | new champion: max wsl 13, nw 11, score 112
seed 30 | gen   14 (119 grids scored in 24.0 m) | maps{1} | new champion: max wsl 13, nw 17, score 92
