Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 48 (4.0 h each)

seed 13 | gen   71 (897 grids scored in 2.5 h) | maps{1} | new champion: max wsl 10, nw 17, score 126
seed 24 | gen  269 (1 grids scored in 7.0 m) | maps{1} | new champion: max wsl 13, nw 17, score 60
seed 32 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  2 | gen   60 (712 grids scored in 3.5 h) | maps{1} | new champion: max wsl 10, nw 18, score 127
seed 27 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  2 | gen   63 (976 grids scored in 4.4 h) | maps{1} | new champion: max wsl 10, nw 18, score 133
seed 28 | gen   65 (24 grids scored in 6.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 60
seed 25 | gen  165 (27 grids scored in 8.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 66
seed 21 | gen  142 (21 grids scored in 7.0 m) | maps{1} | new champion: max wsl 13, nw 12, score 94
seed 14 | gen  386 (763 grids scored in 2.7 h) | maps{1} | new champion: max wsl 11, nw 17, score 133
seed 18 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 17 | gen  120 (23 grids scored in 7.6 m) | maps{1} | new champion: max wsl 13, nw 17, score 90
seed 24 | gen  271 (11 grids scored in 8.9 m) | maps{1} | new champion: max wsl 11, nw 17, score 70
seed 31 | gen    7 (1 grids scored in 1.2 m) | maps{1} | new champion: max wsl 11, nw 14, score 44
seed 21 | gen  145 (64 grids scored in 16.5 m) | maps{1} | new champion: max wsl 13, nw 13, score 98
seed 22 | gen   55 (29 grids scored in 7.7 m) | maps{1} | new champion: max wsl 13, nw 18, score 67
seed 25 | gen  167 (69 grids scored in 13.4 m) | maps{1} | new champion: max wsl 13, nw 14, score 98
seed 30 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 24 | gen  273 (38 grids scored in 13.0 m) | maps{1} | new champion: max wsl 11, nw 18, score 75
seed 29 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 28 | gen   67 (80 grids scored in 14.5 m) | maps{1} | new champion: max wsl 13, nw 16, score 71
