Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.7542

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   157 | Wombat(0,1.0 m,0.64) x   44 | MC estimate 148
seed   151 | Wombat(0,1.0 m,0.64) x  184 | MC estimate 105
seed   175 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  68
seed    97 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 112
seed   205 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  79
seed   169 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 137
seed   127 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  67
seed   223 | Wombat(0,1.0 m,0.64) x   31 | MC estimate 116
seed   145 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  67
seed   103 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 116
seed    49 | Wombat(0,1.0 m,0.64) x  158 | MC estimate 116
seed   139 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 133
seed   121 | Wombat(0,1.0 m,0.64) x  124 | MC estimate 124
seed    73 | Wombat(0,1.0 m,0.64) x  100 | MC estimate  97
seed   115 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 123
seed   193 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 143
seed    78 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 110
seed    36 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  66
seed   210 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  69
seed   186 | Wombat(0,1.0 m,0.64) x    7 | MC estimate  94
seed    60 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  66
seed   163 | Wombat(0,1.0 m,0.64) x  187 | MC estimate 138
seed    66 | Wombat(0,1.0 m,0.64) x   62 | MC estimate  96
seed    84 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  66
seed   216 | Wombat(0,1.0 m,0.64) x   59 | MC estimate 122
seed   150 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  68
seed   198 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 133
seed   181 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 113
seed    54 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 107
seed   174 | Wombat(0,1.0 m,0.64) x  137 | MC estimate 125
seed    96 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
