Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.33664

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 932 seeds from grids/seeds/individual/y2013.mat
	scoring all of them using MC
	MCS total time 30.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 932 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   355 | Wombat(0,1.0 m,0.64) x  196 | MC estimate  74
seed   341 | Wombat(0,1.0 m,0.64) x  175 | MC estimate 109
seed   424 | Wombat(0,1.0 m,0.64) x  177 | MC estimate  74
seed   158 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 112
seed   410 | Wombat(0,1.0 m,0.64) x  171 | MC estimate  74
seed   438 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  74
seed   130 | Wombat(0,1.0 m,0.64) x  128 | MC estimate 117
seed   508 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 138
seed   327 | Wombat(0,1.0 m,0.64) x   67 | MC estimate 145
seed   173 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 136
seed    74 | Wombat(0,1.0 m,0.64) x  189 | MC estimate 135
seed   200 | Wombat(0,1.0 m,0.64) x  104 | MC estimate 113
seed   312 | Wombat(0,1.0 m,0.64) x  192 | MC estimate  73
seed   144 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 117
seed   256 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  73
seed    88 | Wombat(0,1.0 m,0.64) x  188 | MC estimate 147
seed   214 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 116
seed   480 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 142
seed   284 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 135
seed   465 | Wombat(0,1.0 m,0.64) x  190 | MC estimate  74
seed   493 | Wombat(0,1.0 m,0.64) x  145 | MC estimate 147
seed   228 | Wombat(0,1.0 m,0.64) x  202 | MC estimate 140
seed   382 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 118
seed   451 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 125
seed   395 | Wombat(0,1.0 m,0.64) x  191 | MC estimate  74
seed   116 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 147
seed   243 | Wombat(0,1.0 m,0.64) x  116 | MC estimate 145
seed   102 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 120
seed   298 | Wombat(0,1.0 m,0.64) x   80 | MC estimate 145
seed   185 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 122
seed   367 | Wombat(0,1.0 m,0.64) x  205 | MC estimate  74
seed   340 | Wombat(0,1.0 m,0.64) x  170 | MC estimate 118
